,TXNAME,GENENAME
323,ENSMUST00000002091.5,Bcap31
324,ENSMUST00000002095.10,Kmt2a
325,ENSMUST00000002099.10,Ift46
326,ENSMUST00000002100.7,Tmem25
327,ENSMUST00000002101.11,Cd3g
328,ENSMUST00000002112.14,Trappc6a
329,ENSMUST00000002121.4,Supt6
330,ENSMUST00000002127.13,Unc119
331,ENSMUST00000002128.13,Rab34
332,ENSMUST00000002133.8,Sdf2
333,ENSMUST00000002145.11,Hsf2bp
334,ENSMUST00000002152.12,Bbc3
335,ENSMUST00000002171.13,Psmc3
336,ENSMUST00000002172.13,Acp2
337,ENSMUST00000002176.12,Celf2
338,ENSMUST00000002177.8,Nr1h3
339,ENSMUST00000002180.7,Spi1
340,ENSMUST00000002198.3,Sf3a1
341,ENSMUST00000002259.12,Clgn
342,ENSMUST00000002274.9,Napsa
343,ENSMUST00000002275.14,Vrk3
344,ENSMUST00000002280.10,Smg9
345,ENSMUST00000002284.10,Plaur
346,ENSMUST00000002289.7,Uchl3
347,ENSMUST00000002291.11,Paxip1
348,ENSMUST00000002292.14,Rmnd5a
349,ENSMUST00000002297.11,Mov10
350,ENSMUST00000002298.6,Ppm1j
351,ENSMUST00000002303.11,Rhoc
352,ENSMUST00000002305.8,Kdm7a
353,ENSMUST00000002310.7,Prr27
354,ENSMUST00000002318.7,Zfp523
355,ENSMUST00000002320.15,Ppard
356,ENSMUST00000002327.5,Def6
357,ENSMUST00000002336.15,Zim1
358,ENSMUST00000002344.6,Metrn
359,ENSMUST00000002350.10,Narfl
360,ENSMUST00000002360.16,Angptl4
361,ENSMUST00000002368.15,Dbf4
362,ENSMUST00000002379.14,Cd320
363,ENSMUST00000002389.8,Tgm1
364,ENSMUST00000002391.14,Tm9sf1
365,ENSMUST00000002395.7,Rec8
366,ENSMUST00000002397.6,Gmpr2
367,ENSMUST00000002398.8,Adcy4
368,ENSMUST00000002400.6,Mdp1
369,ENSMUST00000002403.9,Dhrs1
370,ENSMUST00000002412.8,Ncan
371,ENSMUST00000002413.14,Tmem161a
372,ENSMUST00000002418.14,2310045N01Rik
373,ENSMUST00000002436.10,Snx9
374,ENSMUST00000002444.14,Rfx2
375,ENSMUST00000002445.9,Ranbp3
376,ENSMUST00000002452.7,Ndufa11
377,ENSMUST00000002456.9,Nt5c1b
378,ENSMUST00000002457.1,Bmp8b
379,ENSMUST00000002466.8,Nr2f6
380,ENSMUST00000002469.8,Ocel1
381,ENSMUST00000002473.9,Babam1
382,ENSMUST00000002487.14,Braf
383,ENSMUST00000002490.6,Ndufb2
384,ENSMUST00000002495.17,Meis3
385,ENSMUST00000002502.11,Hltf
386,ENSMUST00000002518.8,Aes
387,ENSMUST00000002529.6,Prpf6
388,ENSMUST00000002532.8,Rgs19
389,ENSMUST00000002533.14,Rgs20
390,ENSMUST00000002549.8,Abhd3
391,ENSMUST00000002551.4,Snrpd1
392,ENSMUST00000002572.5,Slc9a3r2
393,ENSMUST00000002588.10,Tiam1
394,ENSMUST00000002599.10,Puf60
395,ENSMUST00000002603.11,Scrib
396,ENSMUST00000002625.14,Uck1
397,ENSMUST00000002640.5,Scin
398,ENSMUST00000002655.7,Mien1
399,ENSMUST00000002663.11,Pon1
400,ENSMUST00000002677.10,Axl
401,ENSMUST00000002678.9,Tgfb1
402,ENSMUST00000002683.2,Ccdc97
403,ENSMUST00000002699.6,Akap8
404,ENSMUST00000002708.4,Shh
405,ENSMUST00000002710.9,Pdcd2l
406,ENSMUST00000002733.6,Gtf2f1
407,ENSMUST00000002735.8,Clpp
408,ENSMUST00000002737.6,Alkbh7
409,ENSMUST00000002740.2,Pspn
410,ENSMUST00000002756.13,Med6
411,ENSMUST00000002757.10,Cox16
412,ENSMUST00000002765.8,Prkd1
413,ENSMUST00000002790.13,Cse1l
414,ENSMUST00000002805.13,Naa20
415,ENSMUST00000002808.6,Prkra
416,ENSMUST00000002809.13,Fkbp7
417,ENSMUST00000002817.11,Camk2b
418,ENSMUST00000002818.8,Ykt6
419,ENSMUST00000002825.5,Baz1b
420,ENSMUST00000002837.10,Tmed5
421,ENSMUST00000002839.8,Ppp2r5d
422,ENSMUST00000002840.8,Pex6
423,ENSMUST00000002844.13,Mrpl2
424,ENSMUST00000002845.7,Mea1
425,ENSMUST00000002846.8,Gnmt
426,ENSMUST00000002848.9,Grin2d
427,ENSMUST00000002850.7,Abcc6
428,ENSMUST00000002855.13,Kdelr1
429,ENSMUST00000002874.7,Ggct
430,ENSMUST00000002880.6,Btbd6
431,ENSMUST00000002881.4,Nudt14
432,ENSMUST00000002883.6,Sfrp4
433,ENSMUST00000002885.7,Epdr1
434,ENSMUST00000002889.4,Flii
435,ENSMUST00000002891.10,Top3a
436,ENSMUST00000002902.7,Qtrt1
437,ENSMUST00000002908.7,Plin4
438,ENSMUST00000002911.9,Hdgfrp2
439,ENSMUST00000002914.9,Chaf1a
440,ENSMUST00000002923.9,Adprh
441,ENSMUST00000002924.14,Tmem39a
442,ENSMUST00000002925.5,Timmdc1
443,ENSMUST00000002926.7,Pla1a
444,ENSMUST00000002964.13,Cd97
445,ENSMUST00000002976.4,Il17ra
446,ENSMUST00000002979.14,Lamb1
447,ENSMUST00000002989.10,Arrdc2
448,ENSMUST00000003017.12,Tbxas1
449,ENSMUST00000003027.13,Map2k7
450,ENSMUST00000003029.13,Timm44
451,ENSMUST00000003035.11,Disp1
452,ENSMUST00000003038.11,Ap2a2
453,ENSMUST00000003044.13,Pnkp
454,ENSMUST00000003049.7,Med25
455,ENSMUST00000003061.13,Bcam
456,ENSMUST00000003066.15,Apoe
457,ENSMUST00000003071.9,Apoc4
458,ENSMUST00000003074.15,Apoc2
459,ENSMUST00000003079.11,Prkar2b
460,ENSMUST00000003100.9,Cyp2f2
461,ENSMUST00000003115.8,Cdkn1b
462,ENSMUST00000003117.14,Ap1m1
463,ENSMUST00000003121.8,Rab8a
464,ENSMUST00000003123.9,Fam32a
465,ENSMUST00000003135.13,Elf3
466,ENSMUST00000003137.14,Cyp2c29
467,ENSMUST00000003152.13,Stk11
468,ENSMUST00000003154.6,Efna2
469,ENSMUST00000003156.14,Atp5d
470,ENSMUST00000003183.11,Ppp5c
471,ENSMUST00000003191.13,Prkd3
472,ENSMUST00000003203.13,Cdk12
473,ENSMUST00000003207.10,Lipe
474,ENSMUST00000003219.13,Cnot11
475,ENSMUST00000003238.13,Foxj2
476,ENSMUST00000003245.9,Sri
477,ENSMUST00000003268.10,Sh3gl1
478,ENSMUST00000003274.7,Ebi3
479,ENSMUST00000003284.15,Irf3
480,ENSMUST00000003290.11,Bcl2l12
481,ENSMUST00000003310.6,Ranbp2
482,ENSMUST00000003312.4,Edar
483,ENSMUST00000003313.9,Grk5
484,ENSMUST00000003318.12,Dvl3
485,ENSMUST00000003319.5,Abcf3
486,ENSMUST00000003320.13,Eif2b5
487,ENSMUST00000003345.9,Amph
488,ENSMUST00000003351.12,Grin2c
489,ENSMUST00000003360.9,Car11
490,ENSMUST00000003369.9,Plag1
491,ENSMUST00000003370.13,Hck
492,ENSMUST00000003386.6,Mrpl4
493,ENSMUST00000003395.9,Pde4a
494,ENSMUST00000003397.8,Ap1m2
495,ENSMUST00000003404.8,Glg1
496,ENSMUST00000003413.6,Cyp4f39
497,ENSMUST00000003416.14,Cyp4f16
498,ENSMUST00000003433.10,Mknk2
499,ENSMUST00000003434.13,Btbd2
500,ENSMUST00000003436.11,Abhd17a
501,ENSMUST00000003438.10,Mob3a
502,ENSMUST00000003442.8,Cacnb3
503,ENSMUST00000003444.5,Ccdc65
504,ENSMUST00000003445.7,Fkbp11
505,ENSMUST00000003450.14,Ddx23
506,ENSMUST00000003451.10,Rnd1
507,ENSMUST00000003459.3,Myo1g
508,ENSMUST00000003461.14,Ogdh
509,ENSMUST00000003468.9,Grik5
510,ENSMUST00000003469.7,Cd79a
511,ENSMUST00000003493.8,Prkcsh
512,ENSMUST00000003501.8,Elavl3
513,ENSMUST00000003502.3,Rab3b
514,ENSMUST00000003509.9,St8sia6
515,ENSMUST00000003512.8,Fcgrt
516,ENSMUST00000003513.10,Nosip
517,ENSMUST00000003521.9,Rps11
518,ENSMUST00000003527.9,Supt5
519,ENSMUST00000003529.8,Paf1
520,ENSMUST00000003536.8,Med29
521,ENSMUST00000003544.13,Bicd1
522,ENSMUST00000003550.10,Ncstn
523,ENSMUST00000003554.10,Casq1
524,ENSMUST00000003561.9,Phyhip
525,ENSMUST00000003568.14,Crhr2
526,ENSMUST00000003569.5,Inmt
527,ENSMUST00000003572.9,Gars
528,ENSMUST00000003574.4,Cyp4f18
529,ENSMUST00000003575.10,Tpm4
530,ENSMUST00000003597.14,Psg18
531,ENSMUST00000003599.8,Pcdhgb6
532,ENSMUST00000003612.12,Dusp3
533,ENSMUST00000003620.12,Prodh
534,ENSMUST00000003621.9,Dgcr14
535,ENSMUST00000003622.15,Slc25a1
536,ENSMUST00000003628.12,Ddr1
